firstname,middlename,surname,office,title,region,province,city
Henry,R,Bacumay,Office of the President,"Undersecretary, Office of the Executive Secretary",,,
Maria Cleofe Gettie,C,Sandoval,Office of the President,Undersecretary,,,
Abigail ,D. F. ,Valte,Office of the President,Deputy Spokesperson,,,
Eloisa,D.V.,Sy,Office of the President,Deputy Chief Presidential Legal Counsel,,,
Lynn,D,Moreno,Office of the President,Assistant Executive Secretary General Government Administration Office,,,
Reynaldo,C,Delantar Jr.,Office of the President,"Assistant Executive Secretary, Office of the Appointments Secretary",,,
Susan,D,Reyes,Office of the President,Assistant Executive Secretary Social Secretary’s Office,,,
Jan Mikael,DL,Co,Office of the President,Assistant Executive Secretary Correspondence Office,,,
Ma. Isabel,S,Javier,Office of the President,Assistant Executive Secretary,,,
Juliana,G,Sunga,Office of the President,"Assistant Executive Secretary (on Secondment), Office of the DESFA",,,
Maria Carmen,G,Mislang,Office of the President,"Assistant Secretary, Office of the Presidential Spokesperson",,,
Jose Emmanuel David,M,Eva III,Office of the President,"Assistant Secretary, Office of the Executive Secretary",,,
Noel,B,Damot,Office of the President,"Assistant Secretary, Office of the Chief Presidential Legal Counsel",,,
Michael ,P,Ong,Office of the President,"Assistant Secretary, Office of the Chief Presidential Legal Counsel",,,
Rolando,L,Cucio,Office of the President,"Assistant Secretary, Office of the Political Adviser",,,
Rafael,P,Albert,Office of the President,"Assistant Secretary, Office of the Political Adviser",,,
Ernesto,M,Ramel Jr.,Office of the President,"Assistant Secretary, Office of the Political Adviser",,,
Gina,C,dela Cruz,Office of the President,"Assistant Secretary, Office of the Political Adviser",,,
Jose Emmanuel,B,Escaro,Office of the President,"Assistant Secretary, Office of the Political Adviser",,,
Celestino Gerald,L,Cabrera,Office of the President,"Assistant Secretary, Office of the Executive Secretary(ATC-PMO)",,,
Thomas,M,Orbos,Office of the President,"Assistant Secretary, Management Information Service",,,
Alfredo,N,Caballes,Office of the President,Assistant Secretary,,,
Charito ,A,Zamora,Office of the President,"Assistant Secretary, Office of the Executive Secretary",,,
Amylex Marie ,R,De Pano-Ricaza,Office of the President,"Assistant Secretary, Office of the Executive Secretary",,,
Ericson,A,Alcovendraz,Office of the President,Assistant Executive Secretary (AES) for Finance and Administration,,,
Michael Victor,N,Alimurung,Office of the President,"Assistant Secretary, Office of the Executive Secretary",,,
Oscar,F,Valenzuela,Office of the President,"Assistant Secretary, Office of the Executive Secretary (ATC-PMO)",,,
Naealla Rose,M,Bainto,Office of the President,"Assistant Secretary, GPMO/SIMO",,,
Alvin ,S,Feliciano,Office of the President,"Assistant Secretary, GPMO/SIMO",,,
Anna Marie,L,Corominas,Office of the President,"Assistant Secretary, Office of the Executive Secretary",,,
Rex,Dy,Lores,Office of the President,Assistant Secretary,,,
Eddie,M,Nuque,Office of the President,"Assistant Secretary, Office of the Executive Secretary (Extension)",,,
Rosalie,C,Romero,Office of the President,Assistant Secretary,,,
Howard,B,Cafugauan,Office of the President,Assistant Secretary,,,
Oscar,F,Valenzuela,Office of the President,"Acting Executive Director, Office of the Executive Secretary (ATC-PMO)",,,
Edilberto,P,Adan,Office of the President,"Executive Director, Presidential Commission on the Visiting Forces Agreement",,,
Rex ,D,Piad,Office of the President,"Special Envoy, Office of the Special Envoy for Transnational Crime",,,
Felizardo,M,Serapio,Office of the President,"Executive Director, Philippine Center on Transnational Crime",,,
Gregory ,L,Domingo,Office of the President,Committee on Intellectual Property Rights,,,
Amadeo,R,Perez Jr,Office of the President,Manila Economic and Cultural Office,,,
Francis,N,Tolentino,Office of the President,Metropolitan Manila Development Authority,,,
Jejomar,C,Binay,Office of the Vice President,Vice President,,,
Benjamin ,E,Martinez Jr.,Office of the Vice President,"Undersecretary/Chief of Staff, Office of the Vice President",,,
Rosalie,R,Licauco,Office of the Vice President,Assistant Secretary/Assistant Chief of Staff/Director of Administration & Finance,,,
Virgilio,R,De Los Reyes,Department of Agrarian Reform,Secretary,,,
Jose ,Z,Grageda,Department of Agrarian Reform,Undersecretary of Field Operations,,,
Gerundio,C,Madueño,Department of Agrarian Reform,"Undersecretary of Policy, Planning & External Affairs",,,
Narciso,B,Nieto,Department of Agrarian Reform,"Undersecretary of Finance, Management & Administrative",,,
Anthony,,Parungao,Department of Agrarian Reform,Undersecretary of Legal Affairs,,,
Rosalina,L,Bistoyong,Department of Agrarian Reform,Undersecretary of Special Programs & AR Stakeholders Relations,,,
Jerry,E,Pacturan,Department of Agrarian Reform,Undersecretary of Support Services & Project Implementation,,,
Felix Perry,A, Villanueva,Department of Agrarian Reform,Undersecretary of Finance Planning and Administration,,,
Herminia Fe,B,San Juan,Department of Agrarian Reform,Assistant Secretary of Support Services,,,
Mary Frances,,Pesayco-Aquino,Department of Agrarian Reform,Assistant Secretary of Legal Affairs,,,
Dennis,N,Barrantes,Department of Agrarian Reform,Assistant Secretary of Finance Planning and Administration,,,
Teofilo,M,Inocencio,Department of Agrarian Reform,Assistant Secretary of Field Operations,,,
Justin Vincent,J,Lachica,Department of Agrarian Reform,Head Executive Assistant,,,
Rodolfo Bernardo,M, Bueno,Department of Agrarian Reform,"Director IV, Bureau of Land Acquisition and Distribution",,,
Leandro,A,Caymo,Department of Agrarian Reform,"Director IV, Bureau of Land Tenure Development",,,
Rolando,S,Cua,Department of Agrarian Reform,"OIC-Director, Bureau of Agrarian Legal Assistance",,,
Susana,,Evangelista-Leones,Department of Agrarian Reform,"Director IV, Bureau of Agrarian Reform Beneficiaries Development",,,
Nelia,I,Manahan,Department of Agrarian Reform,"Director IV, Bureau of Agrarian Reform Information & Education",,,
Proceso,J,Alcala,Department of Agriculture,Secretary,,,
Antonio,A,Fleta,Department of Agriculture,Undersecretary of Administration & Finance,,,
Joel,S,Rudinas,Department of Agriculture,Undersecretary of Field Operations,,,
Bernadette Fatima,,Romulo-Puyat,Department of Agriculture,Undersecretary of Special Concerns,,,
Emerson,U,Palad,Department of Agriculture,Chief of Staff,,,
Segfredo,R,Serrano,Department of Agriculture,"Undersecretary of Policy, Planning, Research & Development and Regulations",,,
Allan,Q,Umali,Department of Agriculture,Acting Assistant Secretary of Administration,,,
Salvador,S,Salacup,Department of Agriculture,Assistant Secretary of Fisheries/Supervising Officer of the Secretary to the NAFC,,,
Jose,C,Reano,Department of Agriculture,Assistant Secretary of Livestock,,,
Leandro ,H,Gazmin,Department of Agriculture,Assistant Secretary of Agribusiness and Marketing and Fisheries,,,
Edilberto,M,De Luna,Department of Agriculture,Acting Assistant Secretary of Field Operations,,,
Dina,S,Ocampo,Department of Agriculture,Assistant Secretary,,,
Romeo,S,Recide,Department of Agriculture,"OIC, Office of the Assistant Secretary of Policy and Planning",,,
Laureano Arnulfo,F,Mañalac,Department of Agriculture,Head Executive Assistant,,,
Asterio,P,Saliot,Department of Agriculture,"Director, Agricultural Training Institute (ATI)",,,
Karen Kristine,A,Roscom,Department of Agriculture,"OIC-Executive Director, Bureau of Agriculture and Fisheries Products Standards (BAFPS)",,,
Nicomedes,P,Eleazar,Department of Agriculture,"Director, Bureau of Agricultural Research (BAR)",,,
Rubina,O,Cresencio,Department of Agriculture,"Acting Director, Bureau of Animal Industry (BAI)",,,
Clarito,M,Barron,Department of Agriculture,"Director, Bureau of Plant Industry (BPI)",,,
Silvino,Q,Tejada,Department of Agriculture,"Director, Bureau of Soils and Water Management (BSWM)",,,
Asis,G,Perez,Department of Agriculture,"OIC, Director, Bureau of Fisheries and Aquatic Resources (BFAR)",,,
Jovita,M,Corpuz,Department of Agriculture,"Executive Director, Agricultural Credit Policy Council (ACPC)",,,
Eugenio,D,Orpia Jr.,Department of Agriculture,"Administrator, Cotton Development Administration (CODA)",,,
Norlito,R,Gicana,Department of Agriculture,"Executive Director, Fertilizer and Pesticide Authority (FPA)",,,
Eduardo,B,Holoyohoy,Department of Agriculture,"OIC-Executive Director, Philippine Fiber Industry Development Authority (FIDA)",,,
Manuel,R,Jarmin,Department of Agriculture,"Acting Executive Director, Livestock Development Council (LDC)",,,
Ariel,T,Cayanan,Department of Agriculture,"Acting Executive Director, National Agricultural and Fishery Council (NAFC)",,,
Minda,S,Manantan,Department of Agriculture,"Executive Director, National Meat Inspection Service (NMIS)",,,
Filomino,V,Mamuad Sr.,Department of Agriculture,"OIC-Executive Director, Philippine Carabao Center (PCC)",,,
Rex,L,Bingabing,Department of Agriculture,"Executive Director, Philippine Center for Postharvest Development & Mechanization (PHILMECH)",,,
Florencio,B,Abad,Department of Budget and Management,Secretary,,,
Mario,L,Relampagos,Department of Budget and Management,Undersecretary of Operations,,,
Laura,B,Pascua,Department of Budget and Management,Undersecretary of Policy & Planning,,,
Richard,E,Moya,Department of Budget and Management,Undersecretary/Chief Information Officer,,,
Luz,M,Cantor,Department of Budget and Management,Assistant Secretary of Operations,,,
Amelita,D,Castillo,Department of Budget and Management,Assistant Secretary of Policy and Planning,,,
Janet,B,Abuel,Department of Budget and Management,Assistant Secretary of Corporate Affairs,,,
Gil,P,Montalbo,Department of Budget and Management,Assistant Secretary,,,
Clare Cattleya,G,Amador,Department of Budget and Management,Assistant Secretary/Chief of Staff,,,
Ma. Soledad,G,Doloiras,Department of Budget and Management,"Acting Director IV, Budget and Management Bureau-A",,,
Cristina,,Clasara,Department of Budget and Management,"Director IV, Budget and Management Bureau-B",,,
Dolores,E,Galura,Department of Budget and Management,"Acting Director IV, Budget and Management Bureau-C",,,
Tina Rose Marie,L,Canda,Department of Budget and Management,"Concurrent Head, Budget and Management Bureau-D",,,
Teresita,M,Salud,Department of Budget and Management,"OIC-Director, Budget and Management Bureau-E",,,
Lorenzo,C,Drapete,Department of Budget and Management,"Acting Director IV, Budget and Management Bureau-F",,,
Carmencita,N,Delantar,Department of Budget and Management,"Director IV, Budget and Management Bureau-G",,,
Magdalena,B,Aruta,Department of Budget and Management,"Director IV, Internal Audit Service (IAS)",,,
Clotilde,L,Drapete,Department of Budget and Management,"Acting Director IV, Systems and Productivity Improvement Bureau (SPIB)",,,
Edgardo,M,Macaranas,Department of Budget and Management,"OIC-Director III, Organization, Position Classification and Compensation Bureau (OPCCB)",,,
Carmencita,P,Mahinay,Department of Budget and Management,"Acting Director IV, Budget Technical Service (BTS)",,,
Virginia,L,Follosco,Department of Budget and Management,"Acting Director IV, Training and Information Service (TIS)",,,
Teresita, P,Gapac,Department of Budget and Management,"Acting Director IV, Financial Management Service (FMS)",,,
Sofia,C,Yanto,Department of Budget and Management,"Acting Director IV, Administrative Service (AS)",,,
Vinzon,R,Manansala,Department of Budget and Management,"OIC-Director, Information and Communications Technology Systems Service (ICTSS)",,,
Vilma,P,Gorospe,Department of Budget and Management,"OIC-Director, Corporate Planning and Reforms Service (CPRS)",,,
Rowena Candice,M,Ruiz,Department of Budget and Management,"Director IV, Legal Service (LS)",,,
Rolando,U,Toledo,Department of Budget and Management,"Acting Director IV, Fiscal Planning Bureau (FPB)",,,
Janet,B,Abuel,Department of Budget and Management,"Concurrent Head, Department Legislative Liaison Office (DLLO)",,,
Estanislao,C,Granados Jr.,Department of Budget and Management,"Executive Director, Procurement Service (PS)",,,
Dennis,S,Santiago,Department of Budget and Management,"Executive Director, Government Procurement Policy Board-Technical Support Office",,,
Charisse-Fuschia,A,Paderna,Department of Budget and Management,"Head, Public Information Unit",,,
Haydee,P,Toledo,Department of Budget and Management,"Head, CSO-Desk",,,
Mario,L,Relampagos,Department of Budget and Management,"Concurrent Head, Regional Coordination Unit",,,
Armin,A,Luistro FSC,Department of Education,Secretary,,,
Rizalino,D,Rivera,Department of Education,Undersecretary of Regional Operations,,,
Francisco,M,Varela,Department of Education,Undersecretary of Finance & Administration,,,
Alberto,T,Muyot,Department of Education,Undersecretary of Legal and Legislative Affairs,,,
Dina,S,Ocampo,Department of Education,Undersecretary of Programs & Projects,,,
Mario,A,Deriquito,Department of Education,Undersecretary of Partnerships and External Linkages,,,
Reynaldo Antonio,D,Laguda,Department of Education,Assistant Secretary/Chief of Staff,,,
Armando,C,Ruiz,Department of Education,OIC-Assistant Secretary of Finance & Administration,,,
Lorna,D,Dino,Department of Education,Assistant Secretary of Programs & Projects,,,
Jesus Lorenzo,R,Mateo,Department of Education,Assistant Secretary of Planning and Development,,,
Tonisito,MC,Umali,Department of Education,Assistant Secretary of Legal and Legislative Affairs,,,
Marilyn,D,Dimaano,Department of Education,"Director IV, Bureau of Elementary Education",,,
Carolina,S,Guerrero,Department of Education,"Director IV, Bureau of Alternative Learning Systems",,,
Nelia,V,Benito,Department of Education,"OIC-Director III, National Education Testing Center",,,
Maria Corazon,C,Dumlao,Department of Education,"OIC-Director II, Health & Nutrition Center",,,
Erico,M,Habijan,Department of Education,"OIC-Director III, National Educators Academy of the Philippines",,,
Rosario,D,Deleon,Department of Education,"OIC-Director III, Educational Development Projects",,,
Ricardo,M,De Lumen,Department of Education,"OIC-Director IV, Technical-Vocational Education Task Force",,,
Teresita,G,Inciong,Department of Education,"Executive Director, Early Childhood Care and Development Council",,,
Flor Mary,,Santa Romana Cruz,Department of Education,"Chairperson, National Book Development Board",,,
Ma. Andrea,D, Pasion-Flores,Department of Education,"Executive Director, National Book Development Board",,,
Jocelyn,DR,Andaya,Department of Education,"OIC-Executive Director, National Council for Children’s Television",,,
Jeremy,R,Barns,Department of Education,"Director IV, National Museum",,,
Emma,A,Lim-Izon,Department of Education,"OIC-Director, Philippine High School for the Arts",,,
Carlos Jericho,L,Petilla,Department of Energy,Secretary,,,
Loreta,G,Ayson,Department of Energy,Undersecretary,,,
Raul,B,Aguilos,Department of Energy,Undersecretary,,,
Ramon Allan,V,Oca,Department of Energy,Undersecretary,,,
Matanog  ,M,Mapandi ,Department of Energy,Assistant Secretary,,,
Daniel ,A,Ariaso Sr.    ,Department of Energy,Assistant Secretary,,,
Jose Raymund,A,Acol        ,Department of Energy,Assistant Secretary,,,
Patrick,T,Aquino ,Department of Energy,"Director III, Office of the Secretary/OIC of ITMS",,,
Rino,E,Abad,Department of Energy,"Director IV, Energy Resource Development Bureau",,,
Ismael,U,Ocampo,Department of Energy,Assistant Director of Energy Resource Development Bureau,,,
Mario,C,Marasigan,Department of Energy,"OIC-Director IV, Renewable Energy Management Bureau",,,
Marissa ,P,Cerezo,Department of Energy,Assistant Director of Renewable Energy Management Bureau,,,
Jesus,C,Anunciacion,Department of Energy,"OIC-Director IV, Energy Utilization and Management Bureau",,,
Helen,B,Arias,Department of Energy,OIC-Assistant Director of Energy Utilization and Management Bureau,,,
Zenaida,Y,Monsada,Department of Energy,"Director IV, Oil Industry Management Bureau",,,
Rodela,I,Romero      ,Department of Energy,Assistant Director of Oil Industry Management Bureau,,,
Jesus,T,Tamang      ,Department of Energy,"Director IV, Energy Policy and Planning Bureau",,,
Carmencita,A,Bariso,Department of Energy,Assistant Director of Energy Policy and Planning Bureau,,,
Mylene ,C,Capongcol ,Department of Energy,"Director IV, Electric Power Industry Management Bureau",,,
Irma,C,Exconde        ,Department of Energy,Assistant Director of Electric Power Industry Management Bureau,,,
Herminio,A,Ariola,Department of Energy,Director of Information Technology and Management Services (ITMS) [Reassigned to Mindanao Field Office],,,
Arthus,T,Tenazas,Department of Energy,Director of Legal Services,,,
Araceli,S,Soluta   ,Department of Energy,OIC-Director of Financial Services,,,
Angelina,V,Manga    ,Department of Energy,Director of Administrative Services,,,
Amelia,M,De Guzman     ,Department of Energy,OIC-Director of Energy Research Testing and Laboratory Services,,,
Ramon,JP,Paje,Department of Environment and Natural Resources,Secretary,,,
Analiza,R,Teh,Department of Environment and Natural Resources,Undersecretary/Chief of Staff,,,
Demetrio,L,Igancio Jr.,Department of Environment and Natural Resources,Undersecretary of Field Operations,,,
Ernesto,D,Adobo Jr.,Department of Environment and Natural Resources,Undersecretary of Staff Bureaus,,,
Manuel,D,Gerochi,Department of Environment and Natural Resources,Undersecretary of Policy and Planning,,,
Marcial,C,Amaro,Department of Environment and Natural Resources,OIC-Assistant Secretary of Field Operations,,,
Corazon,C,Davis,Department of Environment and Natural Resources,OIC-Assistant Secretary of Administration & Finance,,,
Anselmo,C,Abungan,Department of Environment and Natural Resources,OIC-Assistant Secretary of Legal Services,,,
Daniel Darius,M,Nicer,Department of Environment and Natural Resources,Assistant Secretary of Internal Audit and Anti-Corruption,,,
Rommel,R,Abesamis,Department of Environment and Natural Resources,Assistant Secretary of Foreign Assisted and Special Projects Lands (Binondo),,,
Michelle Angelica,D,Go,Department of Environment and Natural Resources,Assistant Secretary of Planning,,,
Henry,,Adornado,Department of Environment and Natural Resources,Head Executive Assistant,,,
Juan Miguel,T,Cuna,Department of Environment and Natural Resources,"OIC-Director, Environmental Management Bureau (EMB)",,,
Leo,L,Jasareno,Department of Environment and Natural Resources,"Acting Director, Mines and Geo-Sciences Bureau",,,
Peter,N,Tiangco,Department of Environment and Natural Resources,"Administrator, National Mapping and Resources Information Authority (NAMRIA)",,,
Elenito,M,Bagalihog,Department of Environment and Natural Resources,"OIC-Executive Director, National Water Resources Board (NWRB)",,,
Romeo ,B,Dorado,Department of Environment and Natural Resources,"Executive Director, Palawan Council for Sustainable Development Staff (PCSD)",,,
Juan Romeo Nereus,O,Acosta Jr.,Department of Environment and Natural Resources,"General Manager, Laguna Lake Development Authority",,,
Felix,J,Mariñas Jr.,Department of Environment and Natural Resources,"President, Natural Resources Development Corp. (NRDC)",,,
Regina Paz ,L,Lopez,Department of Environment and Natural Resources,"Chairperson, Pasig River Rehabilitation Commission",,,
Peter Anthony,A,Abaya,Department of Environment and Natural Resources,"General Manager and CEO, Philippine Reclamation Authority",,,
Erwin Krishna,N,Santos,Department of Environment and Natural Resources,"President, Philippine Forest Corporation (PFC)",,,
Lito,A,Mondragon,Department of Environment and Natural Resources,"President & CEO, Philippine Mining Development Corporation (PMDC)",,,
Cesar,V,Purisima,Department of Finance,"Secretary & Chairman, Fiscal Incentives Review Board",,,
Roberto,B,Tan,Department of Finance,Undersecretary of International Finance Group,,,
Gil,S,Beltran,Department of Finance,Undersecretary of Policy Development and Management Services Group,,,
John Philip,J,Sevilla,Department of Finance,Undersecretary of Corporate Affairs Group,,,
Jeremias ,N,Paul Jr.,Department of Finance,Undersecretary of Domestic Finance Group,,,
Jose Emmanuel,P,Riverente,Department of Finance,Undersecretary of Privatization Group/Corporate Affairs Group,,,
Carlo,A,Carag,Department of Finance,Undersecretary of Revenue Operations Group,,,
Soledad Emilia,J,Cruz,Department of Finance,Assistant Secretary of Corporate Affairs Group,,,
Ma. Teresa,S,Habitan,Department of Finance,Assistant Secretary of Domestic Finance Group,,,
Maria Lourdes,P,Recente,Department of Finance,Assistant Secretary/Chief of Staff,,,
Ma. Edita,Z,Tan,Department of Finance,Acting Assistant Secretary of International Finance Group,,,
Ephyro Luis,B,Amatong,Department of Finance,Assistant Secretary of Revenue Operations Group,,,
Ma. Caridad,P,Manarang,Department of Finance,Assistant Secretary Central Management Information Office,,,
John,P,Sevilla,Department of Finance,Commissioner of Bureau of Customs (BOC),,,
Kim,S,Jacinto-Henares,Department of Finance,Commissioner of Bureau of Internal Revenue (BIR),,,
Salvador,M,Del Castillo,Department of Finance,"Executive Director, Bureau of Local Government Finance (BLGF)",,,
Rosalia,V,De Leon,Department of Finance,"Treasurer of the Philippines, Bureau of the Treasury",,,
Ofelia,,Arellano-Marquez,Department of Finance,"Chairperson, Central Board of Assessment Appeal (CBAA)",,,
Emmanuel,M,Santiaguel,Department of Finance,"Chairman, Cooperative Development Authority",,,
Emmanuel,F,Dooc,Department of Finance,Commissioner of Insurance Commission (IC),,,
Trinidad,A,Rodriguez,Department of Finance,"OIC, Executive Director, National Tax Research Center (NTRC)",,,
Toni Angeli,V,Coo,Department of Finance,"OIC, Privatization and Management Office",,,
Cristina,Q,Orbeta,Department of Finance,"OIC, Philippine Deposit Insurance Corporation",,,
Francisco,S,Magsajo Jr.,Department of Finance,"President and CEO, Philippine Export-Import Credit Agency (PHILEXIM)",,,
Teresita,J,Herbosa,Department of Finance,"Chairperson, Securities and Exchange Commission",,,
Albert,F,Del Rosario,Department of Foreign Affairs,Secretary,,,
Ma. Theresa ,,Dizon-De Vega,Department of Foreign Affairs,Chief Coordinator,,,
Rafael,E,Seguis,Department of Foreign Affairs,Undersecretary of Administration,,,
Laura,Q,Del Rosario,Department of Foreign Affairs,Undersecretary of International Economic Relations (OUIER),,,
Jesus,I,Yabes,Department of Foreign Affairs,Undersecretary of Migrant Workers’ Affairs (OUMWA),,,
Evan,P,Garcia,Department of Foreign Affairs,Undersecretary of Policy (OUP),,,
Henry,S,Bensurto Jr.,Department of Foreign Affairs,Undersecretary of West Philippine Sea Center (WPSC),,,
Jose,S,Brillantes,Department of Foreign Affairs,"Undersecretary of Special and Ocean Concerns (OUSOC), Chairman, Overseas Absentee Voting Secretariat (OAVS)",,,
Mary Jo,B,Barnardo Aragon,Department of Foreign Affairs,Assistant Secretary of Internal Audit Services (IAS),,,
Alejandrino,A,Vicente,Department of Foreign Affairs,Assistant Secretary of Strategic Policy Planning and Coordination (OSPPC),,,
Gilberto,GB,Asuque,Department of Foreign Affairs,Assistant Secretary of Ocean Concerns Office (OCO),,,
Carlos,D,Sorreta,Department of Foreign Affairs,Assistant Secretary of American Affairs (OAA),,,
Teresita,VG,Barsana,Department of Foreign Affairs,Assistant Secretary of ASEAN Affairs (ASEAN),,,
Ma. Theresa,P,Lazaro,Department of Foreign Affairs,Assistant Secretary of Asia and Pacific Affairs (ASPAC),,,
Wilfredo,C,Santos,Department of Foreign Affairs,Assistant Secretary of Consular Affairs (OCA),,,
Maria Zeneida,,Angara-Collison,Department of Foreign Affairs,Assistant Secretary of European Affairs (OEA),,,
Domingo,P,Nolasco,Department of Foreign Affairs,Assistant Secretary of Fiscal Affairs,,,
Irene Susan,B,Natividad,Department of Foreign Affairs,Assistant Secretary of Legal Affairs (OLA),,,
Petronila,P,Garcia,Department of Foreign Affairs,Assistant Secretary of Middle East and African Affairs (OMEAA),,,
Melita,S,Sta. Maria-Thomeczek,Department of Foreign Affairs,Assistant Secretary of Personnel and Administrative Services (OPAS),,,
Wilfredo,R,Cuyugan,Department of Foreign Affairs,Assistant Secretary of Protocol (OP),,,
Jesus,S,Domingo,Department of Foreign Affairs,Assistant Secretary of United Nations and Other International Organizations (UNIO),,,
Raul,S,Hernandez,Department of Foreign Affairs,DFA Spokesperson,,,
Ma. Angelina,M,Sta. Catalina,Department of Foreign Affairs,"Director, Foreign Service Institute  (FSI)",,,
Jose Maria,A,Cariño,Department of Foreign Affairs,"Chair-Alternate, Technical Cooperation Council of the Philippines (TCCP)",,,
Virginia,A,Miralao,Department of Foreign Affairs,"Secretary General, UNESCO National  Commission of the Philippines Secretariat",,,
Enrique ,T,Ona,Department of Health,Secretary,,,
David,J,Lozada Jr.,Department of Health,Undersecretary,,,
Madeleine,,De Rosasa-Valera,Department of Health,Undersecretary,,,
Nemesio,T,Gako,Department of Health,Undersecretary,,,
Teodor,J,Herbosa,Department of Health,Undersecretary,,,
Janette,L,Garin,Department of Health,Undersecretary,,,
Gerardo,V,Bayugo,Department of Health,Assistant Secretary,,,
Elmer,G,Punzalan,Department of Health,Assistant Secretary,,,
Paulyn Jean,B,Rosell-Ubial,Department of Health,Assistant Secretary,,,
Enrique ,A,Tayag,Department of Health,Assistant Secretary of Health Designate,,,
Romulo,A,Busuego,Department of Health,Assistant Secretary of Health Designate,,,
Blesilda,A,Gutierrez,Department of Health,Assistant Secretary of Health Designate,,,
Nicolas,B,Lutero III,Department of Health,Assistant Secretary of Health Designate,,,
Jaime,Y,Lagahid,Department of Health,Assistant Secretary of Health Designate,,,
Manuel,A,Roxas II,Department of the Interior and Local Government,Secretary,,,
Austere,A,Panadero,Department of the Interior and Local Government,Undersecretary of Local Government,,,
Edwin,R,Enrile,Department of the Interior and Local Government,Undersecretary of Operations,,,
Peter Irving,C,Corvera,Department of the Interior and Local Government,Undersecretary of Public Safety,,,
Francisco,L,Fernandez,Department of the Interior and Local Government,"Undersecretary of Urban Poor, Informal Settler Families and other Special Concerns",,,
Ma. Perpetua,B,Unico,Department of the Interior and Local Government,Assistant Secretary of Legal Matters and Affairs,,,
Rolando,M,Acosta,Department of the Interior and Local Government,"Assistant Secretary of Policies, Plans and Programs",,,
Ester,A,Aldana,Department of the Interior and Local Government,Assistant Secretary of Finance and Comptrollership and Administration,,,
Nariman,A,Ambolodto,Department of the Interior and Local Government,Assistant Secretary of Muslim Affairs and Special Concerns,,,
Ma. Perpetua,B,Unico,Department of the Interior and Local Government,Head Executive Assistant,,,
Leila,M,De Lima,Department of Justice,Secretary,,,
Francisco,F,Baraan III,Department of Justice,Undersecretary,,,
Leah,C,Tanodra-Armamento,Department of Justice,Undersecretary,,,
Jose Vicente,B,Salazar,Department of Justice,Undersecretary,,,
Jose,F,Justiniano,Department of Justice,Undersecretary,,,
Geronimo,L,Sy,Department of Justice,Assistant Secretary of Administration,,,
Zabedin,M,Azis,Department of Justice,Assistant Secretary of Financial Service,,,
Claro,A,Arellano,Department of Justice,Prosecutor General,,,
Severino,H,Gaña Jr.,Department of Justice,Senior Deputy State Prosecutor,,,
